,Price,Address,Specifics
118,"$829,900",458 Elmwood Ave,"2BD2BA2 Parking700-1,100 sqft"
119,"$799,900",632 Ridge Rd W,"3+1BD3BA9 Parking1,500-2,000 sqft"
120,"$1,089,000",559 Drymen Cres,3+1BD2BA2 Parking
121,"$829,900",2126 Sunnydale Dr,"4BD2BA4 Parking1,100-1,500 sqft"
122,"$1,299,900",731 Runningbrook Dr,"3+2BD3BA6 Parking1,500-2,000 sqft"
123,"$1,849,000",47 Cousins Dr,"3+1BD1BA8 Parking2,000-2,500 sqft"
124,"$1,500,000",21A Wellington St,"4BD3BA6 Parking2,500-3,000 sqft"
125,"$2,399,999",31 Westbourne Crt,"4+3BD5BA11 Parking3,500-5,000 sqft"
126,"$1,389,999",215 Riverdale Ave,3BD3BA2 Parking
127,"$889,999",275 FIR STREET,"3BD3BA2 Parking1,670 sqft"
128,"$699,900",45083 NICOMEN CRESCENT,"4BD3BA3 Parking2,122 sqft"
129,"$789,000",35 Victoria Way,"2+2BD3BA6 Parking1,500-2,000 sqft"
130,"$1,099,900",56 Mcallistar Dr,"4+1BD4BA4 Parking2,500-3,000 sqft"
131,"$719,000",105 Lake Avenue Dr,"3BD3BA6 Parking1,100-1,500 sqft"
132,"$4,999,999",63 Oakwood Ave S,3+1BD3BA4 Parking
133,"$725,000",19 Timberland Cres,"3BD2BA6 Parking1,500-2,000 sqft"
134,"$549,900",482 Athabaska St,"3+2BD2BA6 Parking700-1,100 sqft"
135,"$799,900",6 Leslie Dr,"3BD2BA3 Parking1,100-1,500 sqft"
136,"$1,388,000",7 Carlsberg Pl,4BD3BA8 Parking
137,"$949,000",561 Laval St,4+1BD3BA4 Parking
138,"$799,000",134 Lisbon Pines Dr,"4BD2BA3 Parking2,000-2,500 sqft"
139,"$724,900",10 Vanier Crt,"2+2BD2BA5 Parking700-1,100 sqft"
140,"$1,199,000",717 Normandy Dr,3+1BD4BA7 Parking
141,"$1,189,000",1882 Cedarpark Dr,"4BD4BA4 Parking2,000-2,500 sqft"
142,"$1,049,999",6070 Allendale Ave,2BD1BA2 Parking
143,"$985,000",3123 Michael Cres,"3+1BD2BA3 Parking1,100-1,500 sqft"
144,"$3,595,900",159 Jones St,"5+1BD7BA8 Parking3,500-5,000 sqft"
145,"$1,499,000",1060 Bonnybrook Dr,"3+2BD3BA13 Parking3,500-5,000 sqft"
146,"$724,900",220 Newholme Circ,"3+1BD1BA5 Parking1,500-2,000 sqft"
147,"$1,288,000",6 Tremoy Rd,"4BD4BA6 Parking2,500-3,000 sqft"
